Dataset,Metric,Method,UserGroup,Quantity,Value
ML-20M,Recall,FPMC,<546,3,0.1459
ML-20M,MAP,FPMC,<546,3,0.1519
ML-20M,NDCG,FPMC,<546,3,0.2511
ML-20M,Precision,FPMC,<2314,2,0.2461
ML-20M,Recall,FPMC,<2314,2,0.1659
ML-20M,MAP,FPMC,<2314,2,0.1719
ML-20M,NDCG,FPMC,<2314,2,0.2711
All Beauty,Precision,SASRec,<11,5,0.7153
All Beauty,Recall,SASRec,<11,5,2.7118
All Beauty,MAP,SASRec,<11,5,1.0365
All Beauty,NDCG,SASRec,<11,5,1.8191
All Beauty,Precision,SASRec,<14,4,0.7353
All Beauty,Recall,SASRec,<14,4,2.7318
All Beauty,MAP,SASRec,<14,4,1.0565
All Beauty,NDCG,SASRec,<14,4,1.8391
All Beauty,Precision,SASRec,<22,3,0.7553
All Beauty,Recall,SASRec,<22,3,2.7518
All Beauty,MAP,SASRec,<22,3,1.0765
All Beauty,NDCG,SASRec,<22,3,1.8591
All Beauty,Precision,SASRec,<211,2,0.7753
All Beauty,Recall,SASRec,<211,2,2.7718
All Beauty,MAP,SASRec,<211,2,1.0965
All Beauty,NDCG,SASRec,<211,2,1.8791
Appliances,Precision,SASRec,<12,5,0.8741
Appliances,Recall,SASRec,<12,5,2.3466
Appliances,MAP,SASRec,<12,5,0.9211
Appliances,NDCG,SASRec,<12,5,1.7359
Appliances,Precision,SASRec,<18,4,0.8941
Appliances,Recall,SASRec,<18,4,2.3666
Appliances,MAP,SASRec,<18,4,0.9411
Appliances,NDCG,SASRec,<18,4,1.7559
Appliances,Precision,SASRec,<34,3,0.9141
Appliances,Recall,SASRec,<34,3,2.3866
Appliances,MAP,SASRec,<34,3,0.9611
Appliances,NDCG,SASRec,<34,3,1.7759
Appliances,Precision,SASRec,<389,2,0.9341
Appliances,Recall,SASRec,<389,2,2.4066
Appliances,MAP,SASRec,<389,2,0.9811
Appliances,NDCG,SASRec,<389,2,1.7959
Software,Precision,SASRec,<27,5,0.0778
Software,Recall,SASRec,<27,5,0.1188
Software,MAP,SASRec,<27,5,0.0655
Software,NDCG,SASRec,<27,5,0.1269
Software,Precision,SASRec,<50,4,0.0978
Software,Recall,SASRec,<50,4,0.1388
Software,MAP,SASRec,<50,4,0.0855
Software,NDCG,SASRec,<50,4,0.1469
Software,Precision,SASRec,<107,3,0.1178
Software,Recall,SASRec,<107,3,0.1588
Software,MAP,SASRec,<107,3,0.1055
Software,NDCG,SASRec,<107,3,0.1669
Software,Precision,SASRec,<764,2,0.1378
Software,Recall,SASRec,<764,2,0.1788
Software,MAP,SASRec,<764,2,0.1255
Software,NDCG,SASRec,<764,2,0.1869
ML-1M,Precision,SASRec,<147,5,0.2184
ML-1M,Recall,SASRec,<147,5,0.1275
ML-1M,MAP,SASRec,<147,5,0.1361
ML-1M,NDCG,SASRec,<147,5,0.247
ML-1M,Precision,SASRec,<302,4,0.2384
ML-1M,Recall,SASRec,<302,4,0.1475
ML-1M,MAP,SASRec,<302,4,0.1561
ML-1M,NDCG,SASRec,<302,4,0.267
ML-1M,Precision,SASRec,<546,3,0.2584
ML-1M,Recall,SASRec,<546,3,0.1675
ML-1M,MAP,SASRec,<546,3,0.1761
ML-1M,NDCG,SASRec,<546,3,0.287
ML-1M,Precision,SASRec,<2314,2,0.2784
ML-1M,Recall,SASRec,<2314,2,0.1875
ML-1M,MAP,SASRec,<2314,2,0.1961
ML-1M,NDCG,SASRec,<2314,2,0.307
ML-20M,Precision,SASRec,<147,5,0.2184
ML-20M,Recall,SASRec,<147,5,0.1275
ML-20M,MAP,SASRec,<147,5,0.1361
ML-20M,NDCG,SASRec,<147,5,0.247
ML-20M,Precision,SASRec,<302,4,0.2384
ML-20M,Recall,SASRec,<302,4,0.1475
ML-20M,MAP,SASRec,<302,4,0.1561
ML-20M,NDCG,SASRec,<302,4,0.267
ML-20M,Precision,SASRec,<546,3,0.2584
ML-20M,Recall,SASRec,<546,3,0.1675
ML-20M,MAP,SASRec,<546,3,0.1761
ML-20M,NDCG,SASRec,<546,3,0.287
ML-20M,Precision,SASRec,<2314,2,0.2784
ML-20M,Recall,SASRec,<2314,2,0.1875
ML-20M,MAP,SASRec,<2314,2,0.1961
ML-20M,NDCG,SASRec,<2314,2,0.307
All Beauty,Precision,MARank,<11,5,0.8737
All Beauty,Recall,MARank,<11,5,3.2327
All Beauty,MAP,MARank,<11,5,1.2855
All Beauty,NDCG,MARank,<11,5,2.2058
All Beauty,Precision,MARank,<14,4,0.8937
All Beauty,Recall,MARank,<14,4,3.2527
All Beauty,MAP,MARank,<14,4,1.3055
All Beauty,NDCG,MARank,<14,4,2.2258
All Beauty,Precision,MARank,<22,3,0.9137
All Beauty,Recall,MARank,<22,3,3.2727
All Beauty,MAP,MARank,<22,3,1.3255
All Beauty,NDCG,MARank,<22,3,2.2458
All Beauty,Precision,MARank,<211,2,0.9337
All Beauty,Recall,MARank,<211,2,3.2927
All Beauty,MAP,MARank,<211,2,1.3455
All Beauty,NDCG,MARank,<211,2,2.2658
Appliances,Precision,MARank,<12,5,0.9829
Appliances,Recall,MARank,<12,5,2.8102
Appliances,MAP,MARank,<12,5,1.0556
Appliances,NDCG,MARank,<12,5,1.9985
Appliances,Precision,MARank,<18,4,1.0029
Appliances,Recall,MARank,<18,4,2.8302
Appliances,MAP,MARank,<18,4,1.0756
Appliances,NDCG,MARank,<18,4,2.0185
Appliances,Precision,MARank,<34,3,1.0229
Appliances,Recall,MARank,<34,3,2.8502
Appliances,MAP,MARank,<34,3,1.0956
Appliances,NDCG,MARank,<34,3,2.0385
Appliances,Precision,MARank,<389,2,1.0429
Appliances,Recall,MARank,<389,2,2.8702
Appliances,MAP,MARank,<389,2,1.1156
Appliances,NDCG,MARank,<389,2,2.0585
Software,Precision,MARank,<27,5,0.0895
Software,Recall,MARank,<27,5,0.1331
Software,MAP,MARank,<27,5,0.0772
Software,NDCG,MARank,<27,5,0.1444
Software,Precision,MARank,<50,4,0.1095
Software,Recall,MARank,<50,4,0.1531
Software,MAP,MARank,<50,4,0.0972
Software,NDCG,MARank,<50,4,0.1644
Software,Precision,MARank,<107,3,0.1295
Software,Recall,MARank,<107,3,0.1731
Software,MAP,MARank,<107,3,0.1172
Software,NDCG,MARank,<107,3,0.1844
Software,Precision,MARank,<764,2,0.1495
Software,Recall,MARank,<764,2,0.1931
Software,MAP,MARank,<764,2,0.1372
Software,NDCG,MARank,<764,2,0.2044
ML-1M,Precision,MARank,<147,5,0.2237
ML-1M,Recall,MARank,<147,5,0.1263
ML-1M,MAP,MARank,<147,5,0.1432
ML-1M,NDCG,MARank,<147,5,0.253
ML-1M,Precision,MARank,<302,4,0.2437
ML-1M,Recall,MARank,<302,4,0.1463
ML-1M,MAP,MARank,<302,4,0.1632
ML-1M,NDCG,MARank,<302,4,0.273
ML-1M,Precision,MARank,<546,3,0.2637
ML-1M,Recall,MARank,<546,3,0.1663
ML-1M,MAP,MARank,<546,3,0.1832
ML-1M,NDCG,MARank,<546,3,0.293
ML-1M,Precision,MARank,<2314,2,0.2837
ML-1M,Recall,MARank,<2314,2,0.1863
ML-1M,MAP,MARank,<2314,2,0.2032
ML-1M,NDCG,MARank,<2314,2,0.313
ML-20M,Precision,MARank,<147,5,0.2237
ML-20M,Recall,MARank,<147,5,0.1263
ML-20M,MAP,MARank,<147,5,0.1432
ML-20M,NDCG,MARank,<147,5,0.253
ML-20M,Precision,MARank,<302,4,0.2437
ML-20M,Recall,MARank,<302,4,0.1463
ML-20M,MAP,MARank,<302,4,0.1632
ML-20M,NDCG,MARank,<302,4,0.273
ML-20M,Precision,MARank,<546,3,0.2637
ML-20M,Recall,MARank,<546,3,0.1663
ML-20M,MAP,MARank,<546,3,0.1832
ML-20M,NDCG,MARank,<546,3,0.293
ML-20M,Precision,MARank,<2314,2,0.2837
ML-20M,Recall,MARank,<2314,2,0.1863
ML-20M,MAP,MARank,<2314,2,0.2032
ML-20M,NDCG,MARank,<2314,2,0.313
All Beauty,Precision,HGN,<11,5,0.8821
All Beauty,Recall,HGN,<11,5,3.2347
All Beauty,MAP,HGN,<11,5,1.317
All Beauty,NDCG,HGN,<11,5,2.2612
All Beauty,Precision,HGN,<14,4,0.9021
All Beauty,Recall,HGN,<14,4,3.2547
All Beauty,MAP,HGN,<14,4,1.337
All Beauty,NDCG,HGN,<14,4,2.2812
All Beauty,Precision,HGN,<22,3,0.9221
All Beauty,Recall,HGN,<22,3,3.2747
All Beauty,MAP,HGN,<22,3,1.357
All Beauty,NDCG,HGN,<22,3,2.3012
All Beauty,Precision,HGN,<211,2,0.9421
All Beauty,Recall,HGN,<211,2,3.2947
All Beauty,MAP,HGN,<211,2,1.377
All Beauty,NDCG,HGN,<211,2,2.3212
Appliances,Precision,HGN,<12,5,1.0416
Appliances,Recall,HGN,<12,5,2.7691
Appliances,MAP,HGN,<12,5,1.1982
Appliances,NDCG,HGN,<12,5,2.0921
Appliances,Precision,HGN,<18,4,1.0616
Appliances,Recall,HGN,<18,4,2.7891
Appliances,MAP,HGN,<18,4,1.2182
Appliances,NDCG,HGN,<18,4,2.1121
Appliances,Precision,HGN,<34,3,1.0816
Appliances,Recall,HGN,<34,3,2.8091
Appliances,MAP,HGN,<34,3,1.2382
Appliances,NDCG,HGN,<34,3,2.1321
Appliances,Precision,HGN,<389,2,1.1016
Appliances,Recall,HGN,<389,2,2.8291
Appliances,MAP,HGN,<389,2,1.2582
Appliances,NDCG,HGN,<389,2,2.1521
Software,Precision,HGN,<27,5,0.0866
Software,Recall,HGN,<27,5,0.1268
Software,MAP,HGN,<27,5,0.0761
Software,NDCG,HGN,<27,5,0.1416
Software,Precision,HGN,<50,4,0.1066
Software,Recall,HGN,<50,4,0.1468
Software,MAP,HGN,<50,4,0.0961
Software,NDCG,HGN,<50,4,0.1616
Software,Precision,HGN,<107,3,0.1266
Software,Recall,HGN,<107,3,0.1668
Software,MAP,HGN,<107,3,0.1161
Software,NDCG,HGN,<107,3,0.1816
Software,Precision,HGN,<764,2,0.1466
Software,Recall,HGN,<764,2,0.1868
Software,MAP,HGN,<764,2,0.1361
Software,NDCG,HGN,<764,2,0.2016
ML-1M,Precision,HGN,<147,5,0.2249
ML-1M,Recall,HGN,<147,5,0.1301
ML-1M,MAP,HGN,<147,5,0.1427
ML-1M,NDCG,HGN,<147,5,0.2539
ML-1M,Precision,HGN,<302,4,0.2449
ML-1M,Recall,HGN,<302,4,0.1501
ML-1M,MAP,HGN,<302,4,0.1627
ML-1M,NDCG,HGN,<302,4,0.2739
ML-1M,Precision,HGN,<546,3,0.2649
ML-1M,Recall,HGN,<546,3,0.1701
ML-1M,MAP,HGN,<546,3,0.1827
ML-1M,NDCG,HGN,<546,3,0.2939
ML-1M,Precision,HGN,<2314,2,0.2849
ML-1M,Recall,HGN,<2314,2,0.1901
ML-1M,MAP,HGN,<2314,2,0.2027
ML-1M,NDCG,HGN,<2314,2,0.3139
ML-20M,Precision,HGN,<147,5,0.2249
ML-20M,Recall,HGN,<147,5,0.1301
ML-20M,MAP,HGN,<147,5,0.1427
ML-20M,NDCG,HGN,<147,5,0.2539
ML-20M,Precision,HGN,<302,4,0.2449
ML-20M,Recall,HGN,<302,4,0.1501
ML-20M,MAP,HGN,<302,4,0.1627
ML-20M,NDCG,HGN,<302,4,0.2739
ML-20M,Precision,HGN,<546,3,0.2649
ML-20M,Recall,HGN,<546,3,0.1701
ML-20M,MAP,HGN,<546,3,0.1827
ML-20M,NDCG,HGN,<546,3,0.2939
ML-20M,Precision,HGN,<2314,2,0.2849
ML-20M,Recall,HGN,<2314,2,0.1901
ML-20M,MAP,HGN,<2314,2,0.2027
ML-20M,NDCG,HGN,<2314,2,0.3139
All Beauty,Precision,GCRec,<11,5,0.9974
All Beauty,Recall,GCRec,<11,5,3.7431
All Beauty,MAP,GCRec,<11,5,1.6549
All Beauty,NDCG,GCRec,<11,5,2.7104
All Beauty,Precision,GCRec,<14,4,1.0174
All Beauty,Recall,GCRec,<14,4,3.7631
All Beauty,MAP,GCRec,<14,4,1.6749
All Beauty,NDCG,GCRec,<14,4,2.7304
All Beauty,Precision,GCRec,<22,3,1.0374
All Beauty,Recall,GCRec,<22,3,3.7831
All Beauty,MAP,GCRec,<22,3,1.6949
All Beauty,NDCG,GCRec,<22,3,2.7504
All Beauty,Precision,GCRec,<211,2,1.0574
All Beauty,Recall,GCRec,<211,2,3.8031
All Beauty,MAP,GCRec,<211,2,1.7149
All Beauty,NDCG,GCRec,<211,2,2.7704
Appliances,Precision,GCRec,<12,5,1.189
Appliances,Recall,GCRec,<12,5,3.2111
Appliances,MAP,GCRec,<12,5,1.4735
Appliances,NDCG,GCRec,<12,5,2.4462
Appliances,Precision,GCRec,<18,4,1.209
Appliances,Recall,GCRec,<18,4,3.2311
Appliances,MAP,GCRec,<18,4,1.4935
Appliances,NDCG,GCRec,<18,4,2.4662
Appliances,Precision,GCRec,<34,3,1.229
Appliances,Recall,GCRec,<34,3,3.2511
Appliances,MAP,GCRec,<34,3,1.5135
Appliances,NDCG,GCRec,<34,3,2.4862
Appliances,Precision,GCRec,<389,2,1.249
Appliances,Recall,GCRec,<389,2,3.2711
Appliances,MAP,GCRec,<389,2,1.5335
Appliances,NDCG,GCRec,<389,2,2.5062
Software,Precision,GCRec,<27,5,0.1015
Software,Recall,GCRec,<27,5,0.1483
Software,MAP,GCRec,<27,5,0.0941
Software,NDCG,GCRec,<27,5,0.1639
Software,Precision,GCRec,<50,4,0.1215
Software,Recall,GCRec,<50,4,0.1683
Software,MAP,GCRec,<50,4,0.1141
Software,NDCG,GCRec,<50,4,0.1839
Software,Precision,GCRec,<107,3,0.1415
Software,Recall,GCRec,<107,3,0.1883
Software,MAP,GCRec,<107,3,0.1341
Software,NDCG,GCRec,<107,3,0.2039
Software,Precision,GCRec,<764,2,0.1615
Software,Recall,GCRec,<764,2,0.2083
Software,MAP,GCRec,<764,2,0.1541
Software,NDCG,GCRec,<764,2,0.2239
ML-1M,Precision,GCRec,<147,5,0.2413
ML-1M,Recall,GCRec,<147,5,0.1413
ML-1M,MAP,GCRec,<147,5,0.1607
ML-1M,NDCG,GCRec,<147,5,0.276
ML-1M,Precision,GCRec,<302,4,0.2613
ML-1M,Recall,GCRec,<302,4,0.1613
ML-1M,MAP,GCRec,<302,4,0.1807
ML-1M,NDCG,GCRec,<302,4,0.296
ML-1M,Precision,GCRec,<546,3,0.2813
ML-1M,Recall,GCRec,<546,3,0.1813
ML-1M,MAP,GCRec,<546,3,0.2007
ML-1M,NDCG,GCRec,<546,3,0.316
ML-1M,Precision,GCRec,<2314,2,0.3013
ML-1M,Recall,GCRec,<2314,2,0.2013
ML-1M,MAP,GCRec,<2314,2,0.2207
ML-1M,NDCG,GCRec,<2314,2,0.336
ML-20M,Precision,GCRec,<147,5,0.2413
ML-20M,Recall,GCRec,<147,5,0.1413
ML-20M,MAP,GCRec,<147,5,0.1607
ML-20M,NDCG,GCRec,<147,5,0.276
ML-20M,Precision,GCRec,<302,4,0.2613
ML-20M,Recall,GCRec,<302,4,0.1613
ML-20M,MAP,GCRec,<302,4,0.1807
ML-20M,NDCG,GCRec,<302,4,0.296
ML-20M,Precision,GCRec,<546,3,0.2813
ML-20M,Recall,GCRec,<546,3,0.1813
ML-20M,MAP,GCRec,<546,3,0.2007
ML-20M,NDCG,GCRec,<546,3,0.316
ML-20M,Precision,GCRec,<2314,2,0.3013
ML-20M,Recall,GCRec,<2314,2,0.2013
ML-20M,MAP,GCRec,<2314,2,0.2207
ML-20M,NDCG,GCRec,<2314,2,0.336
All Beauty,Precision,Proposed,<11,5,1.0474
All Beauty,Recall,Proposed,<11,5,3.7931
All Beauty,MAP,Proposed,<11,5,1.7049
All Beauty,NDCG,Proposed,<11,5,2.7604
All Beauty,Precision,Proposed,<14,4,1.0674
All Beauty,Recall,Proposed,<14,4,3.8131
All Beauty,MAP,Proposed,<14,4,1.7249
All Beauty,NDCG,Proposed,<14,4,2.7804
All Beauty,Precision,Proposed,<22,3,1.0874
All Beauty,Recall,Proposed,<22,3,3.8331
All Beauty,MAP,Proposed,<22,3,1.7449
All Beauty,NDCG,Proposed,<22,3,2.8004
All Beauty,Precision,Proposed,<211,2,1.1074
All Beauty,Recall,Proposed,<211,2,3.8531
All Beauty,MAP,Proposed,<211,2,1.7649
All Beauty,NDCG,Proposed,<211,2,2.8204
Appliances,Precision,Proposed,<12,5,1.239
Appliances,Recall,Proposed,<12,5,3.2611
Appliances,MAP,Proposed,<12,5,1.5235
Appliances,NDCG,Proposed,<12,5,2.4962
Appliances,Precision,Proposed,<18,4,1.259
Appliances,Recall,Proposed,<18,4,3.2811
Appliances,MAP,Proposed,<18,4,1.5435
Appliances,NDCG,Proposed,<18,4,2.5162
Appliances,Precision,Proposed,<34,3,1.279
Appliances,Recall,Proposed,<34,3,3.3011
Appliances,MAP,Proposed,<34,3,1.5635
Appliances,NDCG,Proposed,<34,3,2.5362
Appliances,Precision,Proposed,<389,2,1.299
Appliances,Recall,Proposed,<389,2,3.3211
Appliances,MAP,Proposed,<389,2,1.5835
Appliances,NDCG,Proposed,<389,2,2.5562
Software,Precision,Proposed,<27,5,0.1515
Software,Recall,Proposed,<27,5,0.1983
Software,MAP,Proposed,<27,5,0.1441
Software,NDCG,Proposed,<27,5,0.2139
Software,Precision,Proposed,<50,4,0.1715
Software,Recall,Proposed,<50,4,0.2183
Software,MAP,Proposed,<50,4,0.1641
Software,NDCG,Proposed,<50,4,0.2339
Software,Precision,Proposed,<107,3,0.1915
Software,Recall,Proposed,<107,3,0.2383
Software,MAP,Proposed,<107,3,0.1841
Software,NDCG,Proposed,<107,3,0.2539
Software,Precision,Proposed,<764,2,0.2115
Software,Recall,Proposed,<764,2,0.2583
Software,MAP,Proposed,<764,2,0.2041
Software,NDCG,Proposed,<764,2,0.2739
ML-1M,Precision,Proposed,<147,5,0.2913
ML-1M,Recall,Proposed,<147,5,0.1913
ML-1M,MAP,Proposed,<147,5,0.2107
ML-1M,NDCG,Proposed,<147,5,0.326
ML-1M,Precision,Proposed,<302,4,0.3113
ML-1M,Recall,Proposed,<302,4,0.2113
ML-1M,MAP,Proposed,<302,4,0.2307
ML-1M,NDCG,Proposed,<302,4,0.346
ML-1M,Precision,Proposed,<546,3,0.3313
ML-1M,Recall,Proposed,<546,3,0.2313
ML-1M,MAP,Proposed,<546,3,0.2507
ML-1M,NDCG,Proposed,<546,3,0.366
ML-1M,Precision,Proposed,<2314,2,0.3513
ML-1M,Recall,Proposed,<2314,2,0.2513
ML-1M,MAP,Proposed,<2314,2,0.2707
ML-1M,NDCG,Proposed,<2314,2,0.386
ML-20M,Precision,Proposed,<147,5,0.2913
ML-20M,Recall,Proposed,<147,5,0.1913
ML-20M,MAP,Proposed,<147,5,0.2107
ML-20M,NDCG,Proposed,<147,5,0.326
ML-20M,Precision,Proposed,<302,4,0.3113
ML-20M,Recall,Proposed,<302,4,0.2113
ML-20M,MAP,Proposed,<302,4,0.2307
ML-20M,NDCG,Proposed,<302,4,0.346
ML-20M,Precision,Proposed,<546,3,0.3313
ML-20M,Recall,Proposed,<546,3,0.2313
ML-20M,MAP,Proposed,<546,3,0.2507
ML-20M,NDCG,Proposed,<546,3,0.366
ML-20M,Precision,Proposed,<2314,2,0.3513
ML-20M,Recall,Proposed,<2314,2,0.2513
ML-20M,MAP,Proposed,<2314,2,0.2707
ML-20M,NDCG,Proposed,<2314,2,0.386
